model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,3,0.9775899363060793,0.0,0.8639111922432979,0.6225972240567207,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",16,3,0.9524944846828779,0.0,0.8701108023524284,0.6123750019272168,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,3,0.9581099307785431,0.0,0.8639111922432979,0.6228611138065655,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.24996655682722727,1.0,0.24996655682722727,0.9998336660409878,0.9980039920159681
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.8471043035387993,0.0,0.8471043035387993,0.9999168330204938,0.999001996007984
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.880449540913105,0.0,0.8429638917247454,0.9996673320224899,0.9970059880239521
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.8583667452136675,0.0,0.8192564925799767,0.7420991299276105,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.7975383947292963,0.0,0.7778040071328481,0.7458416432023286,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.7847653988283128,0.0,0.7643220455696186,0.7470891561931717,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.23645442631095648,1.0,0.23645442631095648,0.9997497498094141,0.9969969969969971
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.8491579443216324,0.0,0.8491579443216324,0.998915582507461,0.9869869869869871
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.8610398645202318,0.0,0.8299084131916364,0.9999165832698047,0.998998998998999
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.9081906533489624,0.0,0.8262733264515797,0.6940273572136094,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.8068083450198174,0.0,0.80497578283151,0.7552552482446989,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.7953558363951743,0.0,0.7698393625517687,0.6839339447331739,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.2072219073306769,1.0,0.2072219073306769,1.0,1.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.8672616928815842,0.0,0.8672616928815842,1.0,1.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.8684616660078367,0.0,0.8376119683186213,0.9996663330792188,0.995995995995996
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,3,0.9636469160517057,0.0,0.8261112440377474,0.5838338352657773,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",16,3,0.7441548270483812,0.0,0.7311332126458486,0.7386553153858051,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,3,0.8257410510753592,0.0,0.7245574958312014,0.5600600575839912,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,3,0.21581468599227568,1.0,0.21581468599227568,0.9712777825196585,0.6926666666666668
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",2,3,0.8337731336553892,0.0,0.8337731336553892,0.9426666734218596,0.42799999999999994
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,3,0.8093481808900833,0.0,0.8013160079717636,0.9976666672229767,0.972
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,3,0.9617357812821865,0.0,0.7976178123305241,0.6132777781883876,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",16,3,0.7861449072758356,0.0,0.7312312188247839,0.6833333264986674,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,3,0.7629662854596972,0.0,0.7368960234646996,0.4850555570622285,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,3,0.17132682209679237,1.0,0.17132682209679237,0.8907222229639689,0.24933333333333332
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",2,3,0.8072347690661749,0.0,0.8072347690661749,0.8895000009139379,0.12466666666666666
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,3,0.7760325546065966,0.0,0.7445377483963966,0.9066111166874569,0.18533333333333335
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,3,0.9370920173823833,0.0,0.7592879738658667,0.5793333282272021,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",16,3,0.7472117568055788,0.0,0.7013571287194887,0.6656666586647431,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,3,0.7219400553343197,0.0,0.6769341899392506,0.4369444431960583,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,3,0.8191003128886223,1.0,0.8191003128886223,0.7282083184719085,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",2,3,0.8185823584596316,0.0,0.8185823584596316,0.7266805406014125,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,3,0.935282734533151,0.0,0.8185823584596316,0.7266110965013505,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,3,0.9459050986915827,0.0,0.8176593910902739,0.7273472084005673,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",16,3,0.9458014741539955,0.0,0.8185823584596316,0.7277222087780634,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,3,0.964721692726016,0.0,0.8176593910902739,0.7353333192467689,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,3,0.8186199540893236,1.0,0.8186199540893236,0.5387500024835269,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",2,3,0.8507627720634142,0.0,0.8507627720634142,0.5356388909518719,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,3,0.9387386788924535,0.0,0.8507627720634142,0.5399305576235056,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,3,0.9525759089738131,0.0,0.8183227572590113,0.5478333351612091,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",16,3,0.9574092874924341,0.0,0.8507627720634142,0.5537777800609668,0.0
bdh_cq,bdh_cq/plain,f0b8b7c55f92,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,3,0.9684836138039827,0.0,0.8183227572590113,0.5587222242752711,0.0
